UniqueCount	AmbigCount
14	0
12	0
43	0
65	0
157	0
10	0
115	0
449	0
74	0
16	0
79	0
313	0
41	0
577	0
5	0
223	166
74	0
15	0
566	0
1269	0
2499	0
51	0
63	0
24	0
29	0
15	0
63	0
177	0
374	0
726	0
176	0
1225	0
0	0
5	4
87	1772
141	0
44	0
159	0
689	0
20	0
222	0
179	0
328	0
242	1
128	0
24	0
49	0
63	0
61	0
59	0
46	0
145	0
21	0
129	0
11	0
113	0
281	0
61	0
297	0
307	0
120	0
147	0
17	0
26	0
13	0
8	0
17	0
0	0
55	0
66	0
46	0
65	0
34	0
150	0
61	0
22	0
27	0
296	0
513	0
121	0
24	0
209	0
231	0
399	81
17	0
105	0
76	0
140	0
99	0
5	0
3	4
292	0
97	0
13	0
5	0
199	0
2754	253
26	0
21	0
39	0
348	15
62	0
56	0
35	0
28	0
136	0
44	0
48	0
491	0
86	0
124	0
41	0
105	0
138	0
9	0
141	0
24	0
42	0
61	0
8	0
134	0
19	0
118	0
77	0
11	0
44	0
909	0
116	0
38	0
44	0
98	0
9	0
37	0
130	0
38	0
29	0
152	0
604	0
51	0
105	0
69	0
20	0
92	0
71	0
27	0
74	0
125	0
163	0
85	0
28	0
14	0
168	0
43	0
9	0
37	0
46	0
660	0
80	0
106	0
272	0
6548	0
107	0
1	1
130	0
67	0
26	0
80	0
74	0
36	0
214	0
77	0
4	0
41	0
36	0
26	0
65	0
57	0
17	0
10	0
185	0
841	253
51	0
19	0
19	0
281	0
28	0
10	0
4389	0
0	4
38	0
99	0
18	0
29	0
19	0
89	0
276	0
250	0
19	0
313	0
724	0
12	0
1	4
3380	0
523	0
329	0
148	0
219	0
54	0
147	0
413	0
40	0
0	0
74	0
62	0
174	0
82	0
14	0
97	0
41	0
310	0
70	0
212	0
385	0
47	0
220	0
285	0
76	0
359	0
24	0
161	0
114	0
53	0
55	0
43	0
54	0
717	3
124	0
117	0
817	0
130	0
55	0
139	0
64	0
0	1
115	30
57	0
80	0
31	0
49	0
289	0
24	0
217	0
202	0
19	0
178	0
122	0
107	0
48	0
79	0
185	0
43	0
151	0
99	0
30	0
369	0
140	0
11	0
185	0
272	5
108	0
118	61
70	0
142	0
431	0
44	0
19	0
74	0
86	0
21	0
25	0
973	0
0	4
191	0
65	0
846	0
30	0
44	0
114	0
92	0
33	0
17	0
99	0
81	0
47	0
99	0
33	0
120	0
11	0
485	0
50	0
0	0
0	6117
186	2037
10	0
0	1
1	13
18	0
57	0
579	229
107	199
109	0
95	5
52	0
35	0
12	0
165	0
75	0
92	0
93	0
1	13
0	3
202	0
299	0
89	0
17	0
82	0
120	0
62	0
98	0
410	0
71	0
164	0
131	0
48	0
80	0
49	0
831	0
1	0
1	0
70	0
33	0
12	0
91	0
72	0
56	0
40	0
9	0
66	0
137	0
94	0
30	0
23	0
1556	0
57	0
236	0
172	0
42	0
45	0
24	0
53	0
27	0
40	0
12	0
55	0
51	0
91	0
287	0
52	0
29	0
84	0
63	0
129	0
109	0
208	0
18	0
